,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-18,bacondw01,Dwayne Bacon,41,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.4,Location.AWAY,DETROIT_PISTONS,8,8,1227,3,6,2,4,0,0,0,2,2,0,0,2,4.6
1,2017-10-20,bacondw01,Dwayne Bacon,41,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.2,Location.HOME,ATLANTA_HAWKS,0,6,1155,2,4,2,3,0,0,0,11,0,1,0,2,5.9
2,2017-10-23,bacondw01,Dwayne Bacon,41,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.8,Location.AWAY,MILWAUKEE_BUCKS,16,5,1463,2,6,0,3,1,2,0,4,2,0,0,0,2.6
3,2017-10-25,bacondw01,Dwayne Bacon,41,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.8,Location.HOME,DENVER_NUGGETS,7,5,1505,2,4,1,1,0,0,0,4,2,0,1,0,5.5
4,2017-10-27,bacondw01,Dwayne Bacon,41,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.3,Location.HOME,HOUSTON_ROCKETS,10,1,1747,0,6,0,4,1,2,0,4,1,0,0,2,-4.5
5,2017-10-29,bacondw01,Dwayne Bacon,41,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.1,Location.HOME,ORLANDO_MAGIC,21,4,1629,2,6,0,2,0,0,0,8,1,1,0,1,2.5
6,2017-10-30,bacondw01,Dwayne Bacon,41,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.3,Location.AWAY,MEMPHIS_GRIZZLIES,14,2,1192,1,7,0,0,0,0,0,4,1,0,0,0,-1.0
7,2017-11-01,bacondw01,Dwayne Bacon,41,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.3,Location.HOME,MILWAUKEE_BUCKS,16,10,1469,4,9,1,2,1,1,0,4,1,1,1,0,6.9
8,2017-11-03,bacondw01,Dwayne Bacon,41,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29.9,Location.AWAY,SAN_ANTONIO_SPURS,26,18,1934,6,15,2,4,4,4,0,7,1,1,0,1,12.7
9,2017-11-05,bacondw01,Dwayne Bacon,41,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.600000000000001,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,7,1584,3,6,1,1,0,0,0,3,0,2,0,1,5.1
10,2017-11-07,bacondw01,Dwayne Bacon,41,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.9,Location.AWAY,NEW_YORK_KNICKS,19,0,1113,0,1,0,0,0,0,0,2,3,0,0,0,0.8
11,2017-11-10,bacondw01,Dwayne Bacon,41,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.8,Location.AWAY,BOSTON_CELTICS,1,10,1198,5,7,0,0,0,0,0,4,0,0,0,1,6.9
12,2017-11-15,bacondw01,Dwayne Bacon,41,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.HOME,CLEVELAND_CAVALIERS,5,0,658,0,2,0,1,0,0,0,0,1,0,0,0,-1.5
13,2017-11-17,bacondw01,Dwayne Bacon,41,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.4,Location.AWAY,CHICAGO_BULLS,4,4,1103,2,3,0,0,0,0,0,2,2,0,0,1,3.7
14,2017-11-18,bacondw01,Dwayne Bacon,41,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.6,Location.HOME,LOS_ANGELES_CLIPPERS,12,2,721,1,5,0,1,0,0,0,3,0,0,0,1,-1.2
15,2017-11-20,bacondw01,Dwayne Bacon,41,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.3,Location.HOME,MINNESOTA_TIMBERWOLVES,17,0,831,0,3,0,1,0,0,1,3,1,0,0,0,-0.2
16,2017-11-22,bacondw01,Dwayne Bacon,41,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.2,Location.HOME,WASHINGTON_WIZARDS,29,2,761,1,2,0,0,0,0,0,1,0,0,0,1,-0.9
17,2017-11-24,bacondw01,Dwayne Bacon,41,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.6,Location.AWAY,CLEVELAND_CAVALIERS,5,4,591,1,1,1,1,1,2,0,3,0,0,0,0,4.2
18,2017-11-25,bacondw01,Dwayne Bacon,41,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.3,Location.HOME,SAN_ANTONIO_SPURS,26,2,664,1,4,0,1,0,0,0,4,1,0,0,0,1.1
19,2017-11-29,bacondw01,Dwayne Bacon,41,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,TORONTO_RAPTORS,27,0,347,0,1,0,0,0,0,0,1,0,0,0,0,-0.8
20,2017-12-04,bacondw01,Dwayne Bacon,41,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.HOME,ORLANDO_MAGIC,21,0,649,0,1,0,0,0,0,0,0,0,1,0,0,0.3
