,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-27,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.7,Location.AWAY,ATLANTA_HAWKS,0,2,253,1,1,0,0,0,0,1,0,1,0,0,0,3.1
1,2016-10-30,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2,2016-11-02,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.4,Location.HOME,TORONTO_RAPTORS,27,2,593,1,2,0,0,0,0,0,2,2,1,0,1,2.2
3,2016-11-04,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.1,Location.HOME,ATLANTA_HAWKS,0,4,1295,2,6,0,3,0,0,0,3,1,0,0,3,-1.6
4,2016-11-05,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.9,Location.AWAY,ORLANDO_MAGIC,21,8,1941,4,7,0,0,0,1,0,2,3,1,0,1,5.8
5,2016-11-07,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.2,Location.HOME,HOUSTON_ROCKETS,10,2,799,1,4,0,2,0,0,1,0,2,1,0,0,2.7
6,2016-11-09,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.8,Location.HOME,BOSTON_CELTICS,1,4,1893,2,6,0,1,0,0,2,2,4,0,0,0,4.6
7,2016-11-11,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.399999999999999,Location.HOME,CLEVELAND_CAVALIERS,5,8,1208,3,7,0,0,2,2,1,1,2,1,0,1,6.7
8,2016-11-12,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.299999999999997,Location.AWAY,CHICAGO_BULLS,4,12,1862,4,12,1,2,3,3,0,4,9,1,0,2,10.5
9,2016-11-16,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.7,Location.AWAY,PHILADELPHIA_76ERS,22,7,1369,3,4,0,1,1,4,1,0,3,0,0,2,3.4
10,2016-11-17,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.2,Location.HOME,NEW_YORK_KNICKS,19,4,1054,2,2,0,0,0,0,0,1,4,2,0,3,4.7
11,2016-11-19,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.4,Location.HOME,MIAMI_HEAT,15,8,1483,3,6,0,0,2,3,0,2,4,0,0,0,6.4
12,2016-11-21,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.8,Location.HOME,PHOENIX_SUNS,23,6,969,1,1,1,1,3,4,0,4,2,0,0,1,6.5
13,2016-11-25,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.6,Location.AWAY,ORLANDO_MAGIC,21,0,704,0,4,0,3,0,0,1,2,0,1,0,1,-1.9
14,2016-11-26,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.7,Location.HOME,SAN_ANTONIO_SPURS,26,0,707,0,3,0,2,0,0,1,0,3,2,0,1,0.5
15,2016-11-28,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.7000000000000002,Location.HOME,SACRAMENTO_KINGS,25,0,765,0,2,0,1,0,0,0,1,1,0,0,1,-1.8
16,2016-11-30,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.7,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,2,702,1,3,0,1,0,0,0,1,3,0,0,0,1.9
17,2016-12-05,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,BROOKLYN_NETS,2,0,213,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
18,2016-12-16,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.HOME,DETROIT_PISTONS,8,0,349,0,0,0,0,0,0,0,0,2,0,0,0,1.0
19,2016-12-18,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,0,451,0,0,0,0,0,0,0,0,2,0,0,0,1.0
20,2016-12-19,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.4,Location.AWAY,INDIANA_PACERS,11,0,439,0,1,0,1,0,0,1,1,0,1,0,1,-0.1
21,2016-12-23,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.AWAY,MILWAUKEE_BUCKS,16,2,489,1,1,0,0,0,0,0,0,1,0,0,2,0.4
22,2016-12-30,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.5,Location.HOME,BROOKLYN_NETS,2,0,726,0,1,0,1,0,0,0,0,1,1,0,1,-0.4
23,2017-01-14,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.8,Location.HOME,PHILADELPHIA_76ERS,22,4,1264,0,3,0,0,4,4,2,2,2,1,0,0,6.3
24,2017-01-16,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27.5,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,10,1165,4,7,1,3,1,1,3,7,3,1,0,2,12.0
25,2017-01-18,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.1,Location.HOME,MEMPHIS_GRIZZLIES,14,2,821,1,1,0,0,0,0,2,1,3,0,0,1,4.1
26,2017-01-19,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.9,Location.AWAY,NEW_YORK_KNICKS,19,3,862,1,2,1,1,0,0,0,2,1,2,0,1,4.3
27,2017-01-21,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],-1.0,Location.AWAY,DETROIT_PISTONS,8,0,353,0,0,0,0,0,0,0,0,0,0,0,1,-1.4
28,2017-01-24,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.7,Location.HOME,BOSTON_CELTICS,1,2,810,1,1,0,0,0,0,0,1,1,0,0,0,2.7
29,2017-01-27,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.6,Location.AWAY,ATLANTA_HAWKS,0,9,1076,4,5,1,1,0,0,1,2,0,1,0,1,7.6
30,2017-01-29,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.AWAY,NEW_ORLEANS_PELICANS,18,0,550,0,0,0,0,0,0,0,0,1,0,0,0,0.3
31,2017-01-31,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.2,Location.HOME,NEW_YORK_KNICKS,19,4,662,2,5,0,0,0,0,1,0,0,0,1,0,1.9
32,2017-02-02,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.6,Location.HOME,LOS_ANGELES_LAKERS,13,3,562,1,2,1,1,0,0,1,2,2,0,0,1,3.7
33,2017-02-04,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.5,Location.HOME,NEW_ORLEANS_PELICANS,18,4,652,1,1,0,0,2,2,0,0,3,0,1,0,5.7
34,2017-02-06,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.7,Location.HOME,CLEVELAND_CAVALIERS,5,0,700,0,1,0,0,0,0,0,1,1,1,0,0,0.9
35,2017-02-08,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.9,Location.AWAY,BROOKLYN_NETS,2,2,928,1,2,0,0,0,0,0,2,3,1,2,1,4.7
36,2017-02-10,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.7,Location.HOME,INDIANA_PACERS,11,4,802,1,2,0,0,2,2,1,0,1,1,1,0,6.1
37,2017-02-13,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.2,Location.HOME,OKLAHOMA_CITY_THUNDER,20,0,995,0,3,0,1,0,0,0,1,2,0,0,2,-2.4
38,2017-02-16,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,INDIANA_PACERS,11,0,617,0,1,0,1,0,0,1,0,0,0,0,0,-0.4
39,2017-02-26,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.0,Location.HOME,UTAH_JAZZ,28,2,407,1,3,0,0,0,0,0,0,2,0,0,0,0.5
40,2017-02-28,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.5,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,642,0,1,0,0,0,0,0,0,1,0,0,1,-1.4
41,2017-03-01,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.5,Location.AWAY,TORONTO_RAPTORS,27,1,1067,0,2,0,1,1,2,1,4,3,1,0,1,2.8
42,2017-03-03,satorto01,Tomáš Satoranský,697,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.4,Location.HOME,TORONTO_RAPTORS,27,0,272,0,1,0,0,0,0,2,0,0,0,0,0,0.3
