,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
31,2018-10-25,isaacjo01,Jonathan Isaac,379,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30.9,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,10,1825,4,8,0,2,2,2,2,5,1,0,4,1,10.2
32,2018-10-27,isaacjo01,Jonathan Isaac,379,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.1,Location.AWAY,MILWAUKEE_BUCKS,16,2,1342,0,6,0,3,2,2,0,3,1,1,3,1,0.7
33,2018-10-30,isaacjo01,Jonathan Isaac,379,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.1,Location.HOME,SACRAMENTO_KINGS,25,9,1497,3,8,0,4,3,3,0,3,1,1,0,0,6.4
34,2018-11-02,isaacjo01,Jonathan Isaac,379,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.HOME,LOS_ANGELES_CLIPPERS,12,2,729,1,4,0,1,0,0,1,0,0,0,0,0,-0.1
35,2018-11-14,isaacjo01,Jonathan Isaac,379,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.4,Location.HOME,PHILADELPHIA_76ERS,22,4,974,1,3,0,0,2,2,2,5,0,0,2,0,6.6
36,2018-11-17,isaacjo01,Jonathan Isaac,379,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27.5,Location.HOME,LOS_ANGELES_LAKERS,13,7,1014,3,5,1,2,0,0,1,4,1,0,5,2,8.4
37,2018-11-18,isaacjo01,Jonathan Isaac,379,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34.3,Location.HOME,NEW_YORK_KNICKS,19,16,1441,6,9,1,3,3,4,1,3,3,2,1,0,17.7
38,2018-11-20,isaacjo01,Jonathan Isaac,379,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.0,Location.HOME,TORONTO_RAPTORS,27,9,1205,3,7,0,1,3,4,2,3,0,0,0,0,6.8
39,2018-11-23,isaacjo01,Jonathan Isaac,379,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.0,Location.AWAY,DENVER_NUGGETS,7,9,1262,2,10,0,4,5,6,1,4,0,1,0,0,4.1
40,2018-11-25,isaacjo01,Jonathan Isaac,379,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.5,Location.AWAY,LOS_ANGELES_LAKERS,13,6,1451,3,7,0,1,0,0,1,4,1,0,0,1,1.9
41,2018-11-26,isaacjo01,Jonathan Isaac,379,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.8,Location.AWAY,GOLDEN_STATE_WARRIORS,9,15,1800,5,9,3,3,2,3,0,4,0,1,0,2,9.3
42,2018-11-28,isaacjo01,Jonathan Isaac,379,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.4,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,16,1811,5,9,2,4,4,5,0,7,2,0,1,4,10.7
43,2018-11-30,isaacjo01,Jonathan Isaac,379,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.100000000000001,Location.AWAY,PHOENIX_SUNS,23,2,1589,1,4,0,1,0,0,1,2,3,1,1,1,2.5
44,2018-12-04,isaacjo01,Jonathan Isaac,379,[<Position.POWER_FORWARD: 'POWER FORWARD'>],31.2,Location.AWAY,MIAMI_HEAT,15,12,1889,4,5,0,1,4,4,1,5,2,2,1,0,16.0
45,2018-12-05,isaacjo01,Jonathan Isaac,379,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22.8,Location.HOME,DENVER_NUGGETS,7,11,1478,4,11,1,7,2,2,1,3,2,1,1,2,6.8
46,2018-12-07,isaacjo01,Jonathan Isaac,379,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.2,Location.HOME,INDIANA_PACERS,11,6,1236,2,8,0,3,2,3,1,5,0,0,3,2,1.5
47,2018-12-10,isaacjo01,Jonathan Isaac,379,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.8,Location.AWAY,DALLAS_MAVERICKS,6,4,1656,2,4,0,2,0,0,0,4,0,1,1,3,1.5
48,2018-12-13,isaacjo01,Jonathan Isaac,379,[<Position.POWER_FORWARD: 'POWER FORWARD'>],31.1,Location.HOME,CHICAGO_BULLS,4,10,1553,2,7,1,3,5,5,0,3,1,3,3,2,8.6
49,2018-12-15,isaacjo01,Jonathan Isaac,379,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.9,Location.HOME,UTAH_JAZZ,28,0,2029,0,3,0,0,0,0,0,7,1,1,3,3,0.0
50,2018-12-19,isaacjo01,Jonathan Isaac,379,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.5,Location.HOME,SAN_ANTONIO_SPURS,26,10,1486,4,8,2,4,0,0,2,3,1,0,0,0,8.6
51,2018-12-21,isaacjo01,Jonathan Isaac,379,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.6,Location.AWAY,CHICAGO_BULLS,4,5,1177,2,4,1,2,0,0,1,2,0,3,0,0,5.7
52,2018-12-23,isaacjo01,Jonathan Isaac,379,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.9,Location.HOME,MIAMI_HEAT,15,8,1468,2,7,0,2,4,4,2,5,1,0,1,1,7.2
53,2018-12-26,isaacjo01,Jonathan Isaac,379,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.5,Location.HOME,PHOENIX_SUNS,23,11,1534,4,9,0,1,3,4,2,3,1,0,0,1,6.3
