,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],22.2,Location.AWAY,TORONTO_RAPTORS,27,16,1449,7,11,0,0,2,6,1,5,0,1,0,4,6.7
1,2016-10-28,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],42.5,Location.HOME,ORLANDO_MAGIC,21,12,1654,5,14,0,0,2,2,4,16,1,2,0,1,13.1
2,2016-10-30,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],64.1,Location.HOME,MILWAUKEE_BUCKS,16,20,2208,8,16,0,0,4,8,8,15,1,2,3,0,24.9
3,2016-11-01,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],35.6,Location.HOME,NEW_YORK_KNICKS,19,9,2118,4,13,0,0,1,6,2,11,2,2,1,1,6.9
4,2016-11-02,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],23.2,Location.AWAY,BROOKLYN_NETS,2,6,1510,3,9,0,0,0,0,0,6,4,0,2,2,4.1
5,2016-11-05,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],51.3,Location.HOME,DENVER_NUGGETS,7,19,2035,6,11,0,0,7,11,3,16,1,1,3,4,18.0
6,2016-11-07,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],35.4,Location.AWAY,LOS_ANGELES_CLIPPERS,12,15,1492,6,10,0,0,3,5,4,8,0,2,1,3,13.3
7,2016-11-09,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],44.8,Location.AWAY,PHOENIX_SUNS,23,18,2105,7,13,0,0,4,6,4,10,4,1,1,2,17.2
8,2016-11-11,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],40.4,Location.AWAY,SAN_ANTONIO_SPURS,26,20,1970,8,10,1,1,3,3,6,11,0,1,1,6,18.6
9,2016-11-12,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],34.4,Location.AWAY,DENVER_NUGGETS,7,14,1601,7,11,0,0,0,2,5,7,0,2,0,0,14.3
10,2016-11-16,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],27.299999999999997,Location.AWAY,NEW_YORK_KNICKS,19,15,1755,7,13,0,0,1,2,1,8,1,0,1,3,8.2
11,2016-11-18,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],27.0,Location.AWAY,CLEVELAND_CAVALIERS,5,8,1605,4,12,0,0,0,0,3,7,2,1,1,2,6.5
12,2016-11-19,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],39.4,Location.HOME,BOSTON_CELTICS,1,20,1854,9,16,0,0,2,6,3,14,0,0,0,1,15.3
13,2016-11-21,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],42.7,Location.HOME,HOUSTON_ROCKETS,10,13,2041,6,18,0,0,1,6,6,10,1,4,0,3,8.9
14,2016-11-23,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],61.5,Location.HOME,MIAMI_HEAT,15,18,1577,9,12,0,0,0,1,3,12,1,4,4,0,25.2
15,2016-11-25,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],36.5,Location.HOME,LOS_ANGELES_CLIPPERS,12,16,1587,8,11,0,0,0,2,4,6,1,3,0,2,15.4
16,2016-11-26,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],31.6,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,10,2142,5,10,0,0,0,0,2,6,2,3,0,0,11.8
17,2016-11-29,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],16.2,Location.AWAY,CHARLOTTE_HORNETS,3,3,778,1,6,0,0,1,1,1,5,2,0,1,0,3.1
18,2016-11-30,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],50.4,Location.AWAY,BOSTON_CELTICS,1,20,2103,8,13,0,0,4,7,8,9,2,2,1,2,21.7
19,2016-12-02,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],36.8,Location.AWAY,ATLANTA_HAWKS,0,14,1698,6,9,0,0,2,4,3,11,2,1,1,3,14.4
20,2016-12-04,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],38.5,Location.HOME,ORLANDO_MAGIC,21,10,2095,5,11,0,0,0,4,4,6,3,3,2,3,10.0
21,2016-12-06,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],39.0,Location.HOME,CHICAGO_BULLS,4,15,1482,7,13,0,0,1,4,3,7,0,1,3,0,13.6
22,2016-12-07,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],56.5,Location.AWAY,CHARLOTTE_HORNETS,3,26,2044,11,14,0,0,4,7,2,18,1,0,2,1,25.3
23,2016-12-09,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],50.4,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,22,1683,10,13,0,0,2,4,8,14,0,0,1,1,24.0
24,2016-12-11,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],47.3,Location.HOME,PHILADELPHIA_76ERS,22,14,2188,6,14,0,0,2,4,5,9,1,6,0,3,14.1
25,2016-12-14,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],18.2,Location.AWAY,DALLAS_MAVERICKS,6,3,1613,1,3,0,0,1,2,4,12,0,0,0,4,1.7
26,2016-12-16,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],26.9,Location.AWAY,WASHINGTON_WIZARDS,29,13,1817,5,7,0,0,3,6,4,8,1,0,0,2,12.0
27,2016-12-17,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],34.0,Location.HOME,INDIANA_PACERS,11,9,2094,4,11,0,0,1,4,7,8,0,2,1,2,8.1
28,2016-12-19,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],16.8,Location.AWAY,CHICAGO_BULLS,4,9,1397,4,8,0,0,1,2,2,2,0,1,0,0,7.6
29,2016-12-21,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],36.3,Location.HOME,MEMPHIS_GRIZZLIES,14,13,2303,3,8,0,0,7,10,7,12,1,1,0,4,12.0
30,2016-12-23,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],34.8,Location.HOME,GOLDEN_STATE_WARRIORS,9,15,1828,6,7,0,0,3,9,0,9,2,1,2,3,12.0
31,2016-12-26,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],42.4,Location.HOME,CLEVELAND_CAVALIERS,5,11,1694,5,15,0,1,1,7,7,10,4,0,2,1,10.8
32,2016-12-28,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],28.799999999999997,Location.HOME,MILWAUKEE_BUCKS,16,16,1561,7,13,0,0,2,6,4,5,0,1,0,1,11.6
33,2016-12-30,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],34.5,Location.AWAY,ATLANTA_HAWKS,0,15,2085,5,12,0,0,5,7,6,9,1,1,1,6,9.5
34,2017-01-01,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],55.599999999999994,Location.AWAY,MIAMI_HEAT,15,25,2166,12,19,0,0,1,6,6,12,0,2,2,3,21.1
35,2017-01-03,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],48.8,Location.HOME,INDIANA_PACERS,11,20,2107,9,16,0,0,2,2,7,7,2,1,2,0,21.6
36,2017-01-05,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],28.6,Location.HOME,CHARLOTTE_HORNETS,3,16,1504,7,15,0,0,2,3,2,6,0,0,1,0,9.8
37,2017-01-08,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],61.8,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,28,3114,13,20,0,0,2,3,2,12,0,4,2,1,26.6
38,2017-01-10,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],52.9,Location.AWAY,SACRAMENTO_KINGS,25,9,2106,4,5,0,0,1,6,3,9,1,3,7,2,14.5
39,2017-01-12,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],30.0,Location.AWAY,GOLDEN_STATE_WARRIORS,9,12,1636,5,6,0,0,2,4,2,8,0,2,2,6,8.6
40,2017-01-13,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],35.3,Location.AWAY,UTAH_JAZZ,28,9,2009,4,7,0,0,1,4,2,17,1,1,0,1,10.5
41,2017-01-15,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],48.4,Location.AWAY,LOS_ANGELES_LAKERS,13,15,1901,6,17,1,1,2,5,3,14,2,3,1,2,12.1
42,2017-01-18,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],38.4,Location.HOME,ATLANTA_HAWKS,0,13,1395,6,15,0,0,1,6,8,9,2,1,0,1,11.8
43,2017-01-21,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],24.5,Location.HOME,WASHINGTON_WIZARDS,29,3,1059,1,2,0,0,1,4,3,7,1,3,1,4,3.4
44,2017-01-23,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],35.9,Location.HOME,SACRAMENTO_KINGS,25,14,2163,6,11,0,1,2,5,2,10,1,3,0,3,11.0
45,2017-01-28,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],57.7,Location.AWAY,MIAMI_HEAT,15,17,2110,8,15,0,1,1,3,8,13,1,3,2,1,21.3
46,2017-01-30,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],69.9,Location.AWAY,BOSTON_CELTICS,1,28,2440,12,19,0,0,4,7,7,15,3,2,2,1,31.4
47,2017-02-01,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],31.200000000000003,Location.HOME,NEW_ORLEANS_PELICANS,18,17,1549,8,13,0,0,1,2,1,5,0,3,0,2,12.7
48,2017-02-03,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],45.599999999999994,Location.HOME,MINNESOTA_TIMBERWOLVES,17,12,1745,6,14,0,0,0,0,6,12,0,2,3,3,12.3
49,2017-02-04,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],25.299999999999997,Location.AWAY,INDIANA_PACERS,11,13,1876,5,8,0,0,3,5,2,7,1,1,1,6,7.7
50,2017-02-06,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],48.9,Location.HOME,PHILADELPHIA_76ERS,22,16,1545,8,14,0,1,0,0,3,14,1,3,1,1,18.3
51,2017-02-08,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],62.400000000000006,Location.HOME,LOS_ANGELES_LAKERS,13,24,1705,12,19,0,0,0,3,5,12,0,3,4,3,23.8
52,2017-02-10,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],42.0,Location.HOME,SAN_ANTONIO_SPURS,26,12,2197,5,17,0,0,2,5,6,9,0,3,1,0,9.9
53,2017-02-12,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],36.599999999999994,Location.AWAY,TORONTO_RAPTORS,27,10,1647,3,10,0,0,4,8,8,10,0,1,1,1,10.7
54,2017-02-13,drumman01,Andre Drummond,220,[<Position.CENTER: 'CENTER'>],40.4,Location.AWAY,MILWAUKEE_BUCKS,16,21,2056,8,16,0,0,5,9,5,7,0,3,0,4,14.8
