,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],37.6,Location.AWAY,ORLANDO_MAGIC,21,15,2037,7,15,0,2,1,1,3,5,4,1,2,2,12.5
1,2016-10-28,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.7,Location.HOME,CHARLOTTE_HORNETS,3,10,1922,4,14,1,6,1,2,0,6,5,0,0,4,1.9
2,2016-10-30,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],31.0,Location.HOME,SAN_ANTONIO_SPURS,26,18,2346,7,15,0,3,4,5,2,3,2,1,1,2,11.3
3,2016-11-01,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.1,Location.HOME,SACRAMENTO_KINGS,25,9,2439,3,15,2,5,1,2,1,2,7,1,0,2,3.3
4,2016-11-04,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27.6,Location.AWAY,TORONTO_RAPTORS,27,13,2325,5,18,0,2,3,4,1,2,4,2,0,1,6.3
5,2016-11-07,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.6,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,6,1927,2,13,0,2,2,2,1,2,0,2,0,0,0.2
6,2016-11-10,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],40.0,Location.HOME,CHICAGO_BULLS,4,15,2254,6,11,3,5,0,0,1,4,6,4,0,2,16.2
7,2016-11-12,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.7,Location.HOME,UTAH_JAZZ,28,11,2022,5,13,0,1,1,1,0,6,3,1,0,1,5.8
8,2016-11-14,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.1,Location.AWAY,SAN_ANTONIO_SPURS,26,7,2128,3,11,0,1,1,2,2,1,5,1,0,0,5.5
9,2016-12-14,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.4,Location.HOME,INDIANA_PACERS,11,2,1239,1,5,0,1,0,2,0,2,2,1,0,1,-0.3
10,2016-12-16,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.8,Location.HOME,LOS_ANGELES_CLIPPERS,12,15,1741,6,12,1,1,2,4,2,2,0,1,0,1,9.4
11,2016-12-18,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.799999999999997,Location.HOME,BOSTON_CELTICS,1,8,1893,2,3,0,0,4,8,1,3,4,4,1,5,7.2
12,2016-12-20,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.0,Location.HOME,ORLANDO_MAGIC,21,13,2769,6,17,0,1,1,1,1,4,2,0,0,1,4.2
13,2016-12-22,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],52.1,Location.HOME,LOS_ANGELES_LAKERS,13,23,2531,10,16,0,1,3,6,3,10,3,4,0,3,22.4
14,2016-12-23,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.9,Location.AWAY,NEW_ORLEANS_PELICANS,18,12,2261,6,15,0,2,0,0,0,7,3,0,0,1,6.7
15,2016-12-27,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.1,Location.HOME,OKLAHOMA_CITY_THUNDER,20,7,2098,2,10,0,2,3,3,0,3,5,2,1,3,3.7
16,2016-12-29,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.5,Location.AWAY,CHARLOTTE_HORNETS,3,1,1731,0,9,0,0,1,2,1,4,5,1,0,3,-3.1
17,2016-12-30,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],32.8,Location.AWAY,BOSTON_CELTICS,1,11,1856,5,13,0,0,1,2,4,5,6,0,1,1,10.1
18,2017-10-18,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.8,Location.AWAY,ORLANDO_MAGIC,21,10,1396,4,8,1,1,1,2,1,3,2,1,0,1,7.8
19,2017-10-21,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.2,Location.HOME,INDIANA_PACERS,11,6,1527,3,8,0,1,0,0,1,5,0,1,1,1,4.1
20,2017-10-23,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.5,Location.HOME,ATLANTA_HAWKS,0,8,1560,4,8,0,2,0,0,2,3,1,1,0,0,7.2
21,2017-10-25,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.7,Location.HOME,SAN_ANTONIO_SPURS,26,4,1344,2,5,0,1,0,0,0,1,1,0,0,0,1.1
22,2017-10-28,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],32.9,Location.HOME,BOSTON_CELTICS,1,6,1389,3,7,0,1,0,0,3,9,3,1,2,1,9.0
23,2017-10-30,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.6,Location.HOME,MINNESOTA_TIMBERWOLVES,17,10,1626,5,5,0,0,0,0,1,7,2,0,0,1,10.9
24,2017-11-01,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.0,Location.HOME,CHICAGO_BULLS,4,8,1448,3,7,0,0,2,3,0,5,0,1,0,1,5.0
25,2017-11-03,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.6,Location.AWAY,DENVER_NUGGETS,7,3,810,1,2,1,1,0,2,1,2,0,1,0,3,0.5
26,2017-11-05,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.4,Location.AWAY,LOS_ANGELES_CLIPPERS,12,2,1045,1,4,0,1,0,0,0,2,0,1,0,0,-0.8
27,2017-11-06,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.9,Location.AWAY,GOLDEN_STATE_WARRIORS,9,6,1798,3,9,0,0,0,0,0,7,5,1,0,1,5.3
28,2017-11-08,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.7,Location.AWAY,PHOENIX_SUNS,23,14,2197,5,11,2,4,2,2,2,4,5,1,0,1,13.6
29,2017-11-10,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.2,Location.AWAY,UTAH_JAZZ,28,4,1301,1,5,0,1,2,3,1,5,0,0,1,0,3.0
30,2017-11-12,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.3,Location.AWAY,DETROIT_PISTONS,8,4,1416,2,8,0,1,0,0,1,3,1,2,0,0,2.3
31,2017-11-15,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.0,Location.HOME,WASHINGTON_WIZARDS,29,7,1324,2,5,1,2,2,2,2,3,2,0,1,3,4.9
32,2017-11-17,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.9,Location.AWAY,WASHINGTON_WIZARDS,29,10,1062,4,9,1,3,1,2,1,6,1,2,1,0,10.0
33,2017-11-19,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.5,Location.HOME,INDIANA_PACERS,11,6,1436,2,5,0,2,2,2,1,4,3,2,0,2,7.3
34,2017-11-22,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.1,Location.HOME,BOSTON_CELTICS,1,8,1505,4,6,0,1,0,0,1,7,1,0,0,2,6.1
35,2017-11-24,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.2,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,8,1263,2,3,2,2,2,2,0,6,2,0,1,2,7.0
36,2017-11-26,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.6,Location.AWAY,CHICAGO_BULLS,4,4,1187,2,5,0,0,0,0,0,8,2,1,0,0,6.1
37,2017-11-28,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.8,Location.AWAY,CLEVELAND_CAVALIERS,5,5,1163,2,10,1,2,0,0,1,3,2,0,0,2,-1.8
38,2017-11-29,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.5,Location.AWAY,NEW_YORK_KNICKS,19,5,991,2,5,0,1,1,2,2,3,3,1,0,2,5.3
39,2017-12-01,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.7,Location.HOME,CHARLOTTE_HORNETS,3,7,1914,3,8,0,2,1,2,1,10,3,0,0,0,7.6
40,2017-12-03,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.1,Location.HOME,GOLDEN_STATE_WARRIORS,9,7,1283,3,5,1,2,0,0,1,2,3,0,1,1,7.0
41,2017-12-06,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.3,Location.AWAY,SAN_ANTONIO_SPURS,26,5,1313,2,9,1,4,0,0,2,2,3,0,0,2,1.6
42,2017-12-09,winslju01,Justise Winslow,845,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.7,Location.AWAY,BROOKLYN_NETS,2,15,1504,5,6,4,4,1,2,1,5,1,0,2,1,15.7
